,ACAL1,ACAL2,ACAL3,ALPC10,ALPC11,ALPC12,ALPC13,ALPC3,ALPC4,ALPC5,ALPC6,ALPC8,ALPC9,Aq1,Aq10,Aq12,Aq13,Aq14,Aq15,Aq16,Aq17,Aq18,Aq19,Aq2,Aq20,Aq21,Aq22,Aq23,Aq24,Aq25,Aq26,Aq27,Aq28,Aq29,Aq3,Aq30,Aq31,Aq32,Aq33,Aq34,Aq35,Aq36,Aq37,Aq38,Aq39,Aq4,Aq40,Aq41,Aq42,Aq5,Aq7,Aq8,Aq9,ARA1,ARA10,ARA11,ARA12,ARA13,ARA14,ARA15,ARA16,ARA17,ARA18,ARA19,ARA2,ARA20,ARA21,ARA22,ARA23,ARA24,ARA25,ARA26,ARA28,ARA29,ARA30,ARA31,ARA32,ARA4,ARA5,ARA6,ARA7,ARA8,ARA9,As1,As10,As2,As9,BFC10,BFC11,BFC12,BFC13,BFC14,BFC15,BFC16,BFC17,BFC18,BFC19,BFC2,BFC20,BFC21,BFC22,BFC23,BFC24,BFC25,BFC26,BFC27,BFC3,BFC6,BFC7,BFC8,BFC9,Br2,Br3,CVL1,CVL2,CVL3,CVL4,CVL5,CVL6,CVL7,CVL8,CVL9,LRMD1,LRMD10,LRMD11,LRMD2,LRMD3,LRMD4,LRMD5,LRMD6,LRMD7,LRMD8,LRMD9,PDL1,PDL2,S2,SA10,SA11,SA3,SA6,SA8,SA9
Otu000011,0,0,0,0,0,0,0,7,0,0,17,265,0,0,2,9,0,7506,9495,37,0,0,0,8792,0,0,0,0,20,27,30,0,0,0,0,0,0,0,0,0,0,0,0,22,7,110,0,3,299,0,0,66,21,90,0,0,0,88,0,0,0,0,0,0,0,0,42,186,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,1564,350,2777,3273,2721,3069,5368,1836,825,0,0,0,14,0,0,0,0,0,5,0,37,12,3,0,7,0,0,0,0
Otu000012,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,7430,0,122,1611,3,87,5,183,56,13,22,111,2874,6686,2659,866,0,29,0,8446,0,0,0,0,0,0,0,0,0,14,13,0,8,7,0,0,11,0,549,0,0,6,16,5350,4256,208,2475,1748,47,5,134,7,0,0,0,1175,123,0,0,0,0,0,0,0,0,0,1144,73,46,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,3,137,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
Otu000013,0,0,0,0,0,0,0,29,7911,0,0,0,0,7,0,0,22412,17,0,0,0,0,4,0,0,0,0,94,17,126,2694,8477,632,0,19,0,2,0,0,0,4,5,0,0,0,0,0,0,0,0,75,0,0,73,0,0,0,0,0,0,2,0,0,0,6,0,0,0,2,0,0,0,134,201,0,492,0,0,952,1476,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,2577,0,2,6,2,17,338,0,0,232,0,0,0,0,0,0,0,0,0
Otu000014,3,0,0,0,0,0,0,0,701,0,0,4,0,34,0,0,245,0,0,0,0,0,0,28,0,0,0,0,0,0,6,314,134,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,5,4,2,0,0,4,0,0,0,81,0,1021,0,0,0,0,3,2401,1045,46,40,0,1751,18,1155,255,83,0,292,55,0,2,0,11,0,11,470,144,0,0,0,0,0,34,38,20,21,55,0,33,4,36,750,1657,0,0,0,280,0,0,0,0,0,0,0,0,99,0,2,187,9,0,98,103,0,507,3868,0,636,2528,0,0,39,182,13,22436,3337,3,227
Otu000015,0,0,351,29,26,4,66,0,11,13,6,63,0,3,408,98,5,0,8,11,144,358,465,15,199,51,301,188,80,84,360,38,33,50,4,7637,3113,797,153,290,2430,784,21,167,19,69,0,30,163,287,618,2191,1332,4,2109,13,21,187,8,0,760,177,2,8,16,141,475,106,1003,340,4,47,0,7,686,13,87,0,0,10,9,6,57,10,0,214,249,9,10,0,117,586,30,71,108,113,38,206,0,262,286,2051,56,235,62,54,35,103,327,261,54,9,25,58,243,333,247,237,723,1170,215,318,74,4073,42,5,29,0,44,12,44,2,11,563,1323,12,540,542,0,5,136,68
Otu000016,0,2328,0,0,0,9,35,0,501,5,0,0,10,1939,0,0,0,4,0,0,0,0,0,3,0,0,0,9,0,0,0,68,210,3740,171,794,44,0,0,0,4,3,0,0,0,8480,0,0,0,0,0,0,0,12,51,3234,0,0,0,0,0,0,179,0,113,0,0,0,0,0,0,20,163,43,0,22,0,0,10,0,45,13,0,0,0,0,192,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,52,0,0,26,0,0,0,286,12121,7719,1724,0,0,0,3,13,272,35,0,0
Otu000017,0,0,0,2,0,9,0,0,0,0,0,13,0,0,186,0,4,8,0,0,260,0,0,12,0,48,0,6,0,6,19,24,27,0,0,0,0,3,3,39,33,68,1268,8,6,0,7,44,193,28,14,23,467,0,0,0,14,7,0,0,5,11,0,5,36,35,7,36,7,0,0,0,7,14,1415,9,2060,92,0,12,0,0,13,6,0,1229,0,1992,270,20,3692,225,338,71,299,668,664,842,42,473,434,9,154,1149,300,2,109,101,72,438,101,0,0,7,7,0,11,49,40,6,0,0,1866,15,90,32,33,5,2423,89,0,5,0,21,0,474,326,2025,0,5,1104,9268
Otu000018,235,2673,42,0,0,7,30,0,3160,0,0,0,0,776,11,12,9,77,0,19,0,0,0,4,3,13,11,50,3,29,70,733,1705,5088,803,693,367,153,20,29,22,0,0,0,7,357,0,0,0,4,0,0,0,127,223,136,98,0,290,25,4,8,258,41,13,15,0,2,4,0,404,793,1976,692,0,77,10,141,69,512,457,224,1110,0,4,0,51,0,143,418,4,191,0,0,14,0,281,217,188,90,293,292,205,408,261,291,442,31,341,3,1165,103,0,8,0,5,0,0,5,0,8,3,1824,109,17,546,126,20,0,20,921,21,246,0,0,7,0,0,69,0,18,4
Otu000019,0,0,0,0,0,0,0,0,35,0,0,0,0,0,9,52,24,2340,21,0,1021,2797,3025,0,2490,446,2159,3044,2008,1878,5168,0,0,0,18,0,0,0,0,0,0,41,0,0,0,0,0,63,0,392,868,0,0,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2,0,0,0,0,2,2,0,0,0,0,0,0,35,20,5,35,22,1057,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,168,5,0,0,160,117,17,20,26,131,65,92,60,0,0,0,0,0,0,35,23,0,3,0,248,0,0,0,3,0,0,0,0
Otu000020,28,144,1270,663,0,2,0,7,0,0,5665,7,0,0,476,0,0,0,0,0,10,0,7,0,9,202,8,8,14,51,0,0,0,574,0,1034,1049,3929,2502,1216,622,18,160,0,7,0,0,0,0,23,50,0,10,0,0,0,273,2,0,0,0,0,0,0,0,2,0,0,0,0,47,0,1374,1764,995,387,160,0,105,0,103,6,743,0,0,0,120,22,0,0,202,3,0,0,19,0,2,0,0,0,0,44,0,9,0,0,0,0,0,0,0,1729,4,0,0,0,0,0,0,0,0,0,0,40,748,57,727,0,0,4,0,0,0,13,0,0,68,1142,0,0,14,186
Otu000021,0,0,7,0,0,12,0,0,718,0,0,21,0,202,34,0,0,13,0,0,9,0,37,4,10,7,9,22,0,13,51,62,183,0,2,0,3,8,0,6,33,7,0,12,0,196,0,0,6,67,6,36,17,4,0,0,11,4,0,0,16,34,0,34,132,8,9,6,21,10,6,0,139,37,307,86,56,3119,107,4091,0,0,0,0,0,30,0,0,263,1362,29,0,22,54,2,49,3223,1389,318,183,510,1124,648,434,507,733,383,42,416,228,1868,17,0,17,52,88,58,114,44,49,30,8,5298,0,5,0,0,0,336,0,0,0,17,17,17,21,36,353,0,45,102,6
Otu000022,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,108,176,0,0,0,1027,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,26082,8,24,0,656,0,696
Otu000023,0,0,0,0,12,0,0,0,6,0,0,0,3,0,879,0,6,0,3,6,24,67,136,18,31,7,203,189,295,207,469,89,138,0,0,0,0,12,8,236,293,372,0,79,5,55,0,44,27,152,73,210,775,12,0,0,10,13,0,0,86,8,0,0,58,7,14,36,0,0,4,0,71,91,1761,49,2654,925,12,141,0,0,0,4,0,221,0,376,40,146,844,358,552,331,478,659,1213,509,5,427,369,223,1433,714,236,32,60,301,375,743,108,0,0,179,487,246,317,1519,297,387,162,169,0,221,8,0,0,0,468,9,0,0,0,1159,900,30,294,659,0,0,319,692
Otu000024,402,783,44,276,874,102,1061,9,472,188,80,101,674,668,58,272,0,166,373,36,0,3,12,1780,0,6,2,2,47,34,136,52,66,509,2141,314,53,49,78,44,49,0,0,35,7,503,0,11,16,11,3,19,0,134,1251,283,141,0,834,32,95,23,57,95,0,31,24,7,46,0,192,290,28,25,20,8,70,6,7,0,706,16,70,0,3209,0,4342,0,0,44,103,28,0,4,0,4,28,0,12,448,285,237,18,35,34,33,9,87,10,4,40,218,34,9,98,5,11,0,0,0,0,0,6,37,7,40,43,1968,0,25,591,100,60,0,3,0,0,9,4,81,0,7
Otu000025,138,1373,16,547,0,795,5827,0,0,234,242,30,2797,98,0,0,0,0,0,24,0,0,0,0,0,0,0,8,3,0,0,6,0,667,7,1161,422,26,7,2,8,0,0,0,0,4,0,0,36,0,0,0,9,0,1120,1630,445,0,7,0,0,0,18,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,985,4,91,0,4621,0,3071,0,0,0,0,6,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1055,321,0,0,0,0,0,0,0,0,0,0,0,0,0,349,274,0,4,540,0,0,0,3,0,2,11,0,0,0,0
Otu000026,0,36,90,30,0,5,38,0,195,3,0,0,0,70,17,142,21,10,31,0,54,11,117,1248,194,21,70,128,85,14,84,117,259,610,178,319,1649,388,2426,2094,1691,2,7,31,37,50,0,5,120,7,0,67,0,131,0,131,257,82,6,9,0,19,62,25,11,9,10,144,1537,117,0,700,109,1429,22,6513,5,7,109,21,18,1810,237,0,0,0,14,48,7,8,23,152,0,4,7,0,0,11,5,43,0,9,8,15,6,62,25,7,14,0,8,49,2,47,66,6,6,5,31,18,0,0,8,4,714,383,84,0,0,430,14,0,257,7,0,6,48,27,0,0,0,63
Otu000027,0,0,0,0,0,0,0,0,0,0,0,0,0,152,87,4033,0,44,802,0,49,6,92,82,11,14,61,1397,3424,1487,385,0,46,0,4470,0,0,0,0,0,0,0,0,0,0,8,0,19,5,0,0,18,0,256,0,0,6,10,2872,2206,80,1447,958,42,17,72,4,0,0,0,519,71,0,0,0,0,0,0,0,0,0,2930,62,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000028,52,3114,0,4796,0,0,1089,20,0,6749,1759,0,20,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5,0,0,0,2,0,6,0,0,0,0,198,0,0,0,2,0,0,0,0,349,6,0,0,8,0,0,0,1431,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5068,0,617,0,5,0,49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,28,28,1179,0,0,721,0,0,17,0,7,0,29,0,0,0,0
Otu000029,4,18,0,0,2,0,0,0,120,0,0,47,0,7,13,16,9,228,321,0,0,0,0,0,0,3,0,6,0,0,21,129,320,7,88,0,0,0,0,0,0,0,0,0,0,76,0,0,4,37,0,27,10,24,0,0,20,0,26,0,0,0,32,0,229,6,0,15,0,5,0,10,151,136,29,120,14,3016,29,324,0,33,11,0,2,3,0,19,914,811,20,77,40,50,21,251,918,219,1066,713,1073,249,711,1922,813,1872,94,1243,765,612,3263,0,0,15,59,33,56,127,72,274,87,77,242,5,8,27,23,0,175,15,156,1572,716,85,13,11,26,9,203,56,0,53
Otu000030,0,0,0,287,11607,12058,243,0,0,197,9,0,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,271,0,42,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000031,0,0,0,35,0,0,0,26880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000032,5,0,223,0,0,2,0,0,0,0,0,10,0,0,383,3091,10,11,0,0,31,772,340,103,854,58,3537,704,1775,344,360,15,16,17,96,60,123,130,36,87,2053,47,14,102,32,12,0,25,119,72,173,449,13,35,0,12,61,195,191,8,339,21,0,50,0,190,259,94,765,2152,4,13,0,0,323,16,23,82,0,0,4,0,4,7,0,30,0,0,4,19,175,11,118,40,6,100,78,76,15,38,34,38,660,653,1094,418,0,130,802,65,274,0,0,50,35,24,6,197,28,7,11,7,0,0,0,0,9,0,0,0,0,0,0,8,0,0,23,226,0,0,7,0
Otu000033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26035,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000034,0,3208,0,5049,0,3,826,21,0,7364,1531,0,28,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,384,0,0,0,5,0,0,0,1405,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3020,0,614,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,779,0,0,509,0,0,0,0,0,0,18,0,0,0,0
Otu000035,0,0,88,0,8,7,0,0,24,0,0,5,0,0,97,0,0,0,0,12,57,58,173,0,77,16,55,278,4,30,7,6,44,0,0,31,38,116,322,95,56,27,24,7,462,9,23,106,893,3404,90,108,308,11,0,0,5,0,0,0,14,82,0,0,15,21,0,30,13,4,0,0,112,495,48,281,425,24,82,568,0,3,27,55,0,904,2,141,9,17,832,17,984,393,316,958,112,247,0,363,89,27,1066,295,136,0,54,1241,24,151,62,4,0,17,340,97,73,215,416,55,87,48,1043,18,124,22,9,0,46,3,0,0,0,566,636,5,144,28,0,19,143,95
Otu000036,0,0,7,0,0,0,0,0,0,0,10,0,0,0,357,28,13,0,5,0,44,89,290,25,34,26,573,569,571,303,256,6,0,0,0,2,0,19,0,83,174,8,0,15,37,23,0,54,27,57,25,532,174,8,0,0,0,31,0,116,124,109,0,16,7,0,15,50,0,10,0,0,0,0,205,0,0,0,0,0,0,0,0,7,0,0,0,14,5,16,83,11,270,1457,40,487,1264,45,0,3584,2078,0,2421,222,152,0,0,580,0,722,32,0,0,254,277,590,186,645,215,274,87,208,0,0,6,0,0,0,0,6,0,0,0,257,71,2,12,110,0,0,74,13
Otu000037,0,0,25,0,0,0,0,0,0,0,0,0,0,27,15,41,0,0,0,19,0,0,0,1230,0,0,0,11,18,0,0,14,12,54,9,191,272,195,283,3078,2183,40,84,354,51,0,6,77,740,0,8,0,0,13,0,16,14,363,82,47,255,118,8,2781,0,1202,74,438,3306,240,305,31,81,40,0,11,0,0,0,0,14,131,445,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,49,59,9,84,33,88,8,2,0,0,0,1088,464,0,0,0,26,0,0,0,20,2,0,0,0,0,3,0,0
Otu000038,92,627,9,403,3,564,4315,3,0,162,189,21,2681,39,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,3,11,536,4,350,106,15,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,876,833,334,0,0,0,0,3,15,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,863,3,59,0,3615,0,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,129,0,6,0,0,0,0,0,0,0,0,0,2,0,214,143,0,0,330,0,0,2,0,0,0,0,0,0,2,10
Otu000039,0,0,0,0,0,0,0,0,208,2,0,0,0,18,5,0,40,0,0,0,0,0,0,7,0,0,0,0,0,0,0,59,47,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,129,0,0,0,0,0,804,171,0,16,0,531,8,437,90,103,0,44,14,0,0,0,0,0,3,91,39,0,0,0,0,0,8,4,10,7,13,0,0,6,2,243,248,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,14,0,0,79,11,0,137,1101,0,250,6131,0,0,6,24,0,6656,1855,0,41
Otu000040,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,4,0,0,0,0,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,0,0,0,23,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,3054,2332,3743,609,2685,674,1424,1845,0,0,0,0,0,0,0,0,0,0,0,1949,87,0,0,0,0,0,0,0
Otu000041,524,473,6,248,0,90,485,0,33,448,104,73,4909,637,0,0,0,100,65,10,0,0,0,6,3,0,5,0,0,0,4,24,62,367,316,152,25,20,4,0,14,0,0,6,0,40,0,0,2,15,2,2,0,56,1603,61,2,0,65,0,0,0,246,0,10,0,0,0,6,0,23,238,18,16,53,3,0,7,3,6,526,3,7,0,439,0,1511,0,39,131,0,18,0,0,0,0,16,137,7,40,225,127,21,59,12,118,12,132,6,0,335,142,15,0,0,3,0,0,5,0,4,2,349,0,0,0,0,1548,0,3,1216,0,7,4,0,0,0,9,0,392,0,0
